Index,movie,title,body,sentiment,label,GB_right,NB_right,SVM_right,DT_right,LR_right
262,The Grey,A movie that starts with attempted suicide that by the end makes you fell just like that,"One of the worst most implausible, farfetched, desperately hopeless & demoralizing movies I have ever suffered through. By the end it has you wishing that you too had been eaten by wolves within the first tedious 10 minutes of this drab & dreary comedy of errors. Appropriately titled 'The Grey' as it offers nothing but a blurred hopelessness to the viewer. The last thing we need after the hard times we have recently endured.  Unless you enjoy inflicting pain on yourself, avoid at all costs.",0.0,negative,1,1,1,1,1
263,The Hunger Games (4K UHD),Three Stars,Read the book its so much better,1.0,neutral,0,0,1,0,1
264,The Tomorrow War,Great film,"Great fun - I enjoyed this a lot - excellent special effects, fun story line and edge of you seat action.",2.0,positive,1,1,1,1,1
265,Olympus Has Fallen,BORINGGGGGGGGG,Its so predictable its unreal....the whole story is very unrealistic and stupid. I like Gerrard butler but this is just rubbish i was more interested in playing cover orange on my phone........,1.0,neutral,1,0,0,1,0
266,The Grey,Dismal viewing !!,"The ending was absolutely disappointing, I was expecting a Liam Neeson thriller . What a letdown. I'll take greater care selecting next time",1.0,neutral,1,1,1,1,0
267,12 Strong,acting is good by Hemsworth and Pena,"A little soft...acting is good by Hemsworth and Pena...but the characters don't really have much 'ooompf'.  Some of the special effects aren't really that special, some of the flames / explosions seem to be stuck on.  Really interesting to find out about the horse riding marines but that's about it.",1.0,neutral,1,1,1,1,1
268,The Hunger Games (4K UHD),One Star,Unexplainable success of a dull poorly made movie,0.0,negative,1,1,1,1,1
269,Blade Runner 2049,One Star,"A complete disappointment, the most underwhelming and unambitious sequel to one of the best movies ever made! Just for the record,​ I like slow, long movies but not this one.",0.0,negative,1,0,1,0,0
270,The Tomorrow War,Gripping Scifi Movie,Outstanding!  The most enjoyable scifi movie since Avatar and The Martian. Great job Amazon,2.0,positive,1,1,1,1,1
271,Blade Runner 2049,"Dull, dull, dull","Dark, confusing and slow - that’s the movie, not me",1.0,neutral,1,1,1,1,1
272,Kong: Skull Island,Very predictable but sometimes enjoyable romp. Big CGI monsters ...,Very predictable but sometimes enjoyable romp. Big CGI monsters fighting and a cast you really wouldn't mind seeing eaten. Watchable but very forgettable.,1.0,neutral,1,1,1,1,1
273,Renegades,DVD,Not as good as I was expecting to be honest,1.0,neutral,1,1,1,1,1
274,Monsters of Man,Unbelievably bad,Don't bother watching or paying for this. Belive the bad reviews,0.0,negative,1,1,1,1,1
275,Kong: Skull Island,Three Stars,Don't fly your helicopters too close to giant apes is the lesson to be learned here.,1.0,neutral,1,1,1,1,1
276,The Grey,Okay,Tense in parts but What a weird ending,1.0,neutral,1,1,1,1,1
277,The Hunger Games (4K UHD),"Dissapointed, perhaps by the hype.","After hearing much about the film and the anticipation surrounding the sequel I was expecting to enjoy the film. Whilst it is by no means bad I was very disappointed. It is highly derivative which in itself is not a major problem (and let's face it not uncommon in Hollywood these days) but it lacked something, some sort of spark to get it going. The acting was good and the story well told. It was just a little dull. The action when it sparked into life was real which was nice but a little shallow.Like music movies are very personal and this was just not for me. Clearly, others feel differently. If you have seen a lot of movies, especially the forced to fight or compete genre then give it a miss.",0.0,negative,0,0,0,0,0
278,Monsters of Man,3.5 stars !!!! we need a half star option boys :),"Great film, great ideas, the sad face moments are far too drawn out, and the action is great but not as much as I thought, great ending, maybe a bigger budget second film?",1.0,neutral,0,0,0,1,0
279,The Hunger Games (4K UHD),Loved it!,"I really, really, really enjoyed the books of the Hunger Games and was very excited when the film came out. Sometimes you worry that the film will never live up to the book, but this is not the case. The film was just as good as the book and kept to the story. There were a few things that were left out that I would have liked to have seen, but I understand you can't fit a whole book in a movie!",2.0,positive,1,1,1,1,1
280,Olympus Has Fallen,A truly amazing piece of none organic waste!,"Usually with action movies, you tend to forget about the story,acting and just enjoy (or endure) the action. However, with this movie, it will be more of an endure kind of event. This is truly one of the worst I have ever seen, certainly in top 10 worst movies of all times. Aside from some cool CGI effects, there is nothing else good about it. For starters, the plot is cartoonish and soooo unbelievable to say the least! A group of thugs just waltz int the white house??? Really??? And of course where all the combined special forces teams failed, only one guy (our hero) manages to defeat all the baddies single handedly (actually he used both hands in some fights to be fair!)The dialog is sooooo cheesy I almost throw up! If action is what you see, then there are much better options than this piece of (insert your own word here).One star rating is very generous for this none organic waste!",0.0,negative,1,1,1,1,1
281,Monsters of Man,Nope.,"Robots look great, really nice design. As for the film, couldn’t wait for it to end. Terrible acting, reminiscent of teen slasher movies. The constant crying and screaming became irritating after a while, partly due to the soap opera performances. Overall, a predator wannabe, without the tension. Shame, looked really interesting.",0.0,negative,1,0,1,1,1
282,The Tomorrow War,good SFX but stuffed full of cliches and ideas borrowed from better movies,"mash up of ideas borrowed from better movies such as independence day, starship troopers, terminator, etc. clearly the budget is decent and can't complain about the SFX, but you  have seen it all before which leads me to only a 2 star review. i wouldn't recommend it",0.0,negative,1,1,1,1,1
283,Cell,Makes you think. . . .,". . .which I think is why it gets poor reviews. It doesn't have a clear cut ending, but that's King for you. His stories are like parables - hidden meanings. He wants you to go away having to delve deep and decipher it. Usually, you'll find some real moral truth beneath it.I put off buying this due to poor reviews, despite being a King fan. I finally took the plunge, and really enjoyed it.Sure it's cryptic. But King's work is always a refreshing departure from today's inane ""unfeasibly handsome bloodsucking guy meets virgin, fights over said virgin with other unfeasibly handsome bloodsucking guy, saves virgin from unfeasibly good looking bloodsucking baddies, humps virgin, saves the world and lives happily ever after"" type of tripe.Perish the thought we have to actually think about anything these days rather than just be entertained and titillate for 90 mins.(Rolls eyes).",2.0,positive,1,0,0,0,0
284,John Wick Chapter 2,Great 👍,"I just love John wick , full.of action, can't wait for no 4",2.0,positive,1,1,1,1,1
285,The Tomorrow War,The lowest effort film you'll see all decade,It's impressive they managed to make something so mediocre that you'd be better off spending your afternoon defingernailing your hands.,0.0,negative,0,0,0,0,0
286,Olympus Has Fallen,"Don,t bother","at times was just to silly to be understood,and to dark to be seen,awaste of everyones efforts,and my money be warned!",1.0,neutral,1,1,1,1,0
287,The Hunger Games (4K UHD),Beware if you are not a teenager,My mistake I had never heard about the movie and blindly  followed one of those marketing recommendations by Lovefilm and saw a 4-star review for the movie.Without realising that this was one of those pointless movies entirely played by teenagers obviously targeted at teenagers(let's hope they do not all watch this sort of movies though..).Returned the movie after watching it for a few seconds.,0.0,negative,0,1,0,0,1
288,The Tomorrow War,Good effort but fell at the last third,"Promising start with decent acting, fell short of the mark in the latter stages. worth a watch but don't expect too much from this one.",1.0,neutral,1,1,1,1,1
289,The Tomorrow War,Dull,I love Scifi time travel films with aliens. I just don't like this.,0.0,negative,1,0,0,1,0
290,Blade Runner 2049,Awful,"The first Blade Runner was a classic film, it had a unique look and feel and was well acted and had a good story. I was, to be honest excited to see a sequel and unfortunately for me it failed. It appears they spent too much time focusing on style than anything else. The film starts fine by establishing our hero and his job, then muddles around for about an hour doing pretty much nothing. By the time any actual story evolves the film is over and you're left feeling ""Looks like Bladerunner, has the actor in Blade Runner, but that's about it"".You can't fault the look, even the acting but the actual film is slow and uneventful, it may have reflected the original but it's just killed the franchise,",0.0,negative,0,0,0,1,0
291,London Has Fallen,Five Stars,"Great film, keeps you on the edge of your seat.",2.0,positive,1,1,1,1,1
292,RED,Fab film ..fab price ..fast delivery,Great value for money ..great pressie happy customer..item was on timeThank you,2.0,positive,1,1,1,1,1
293,The Grey,The Grey (Blu-ray) - Terrible,"Very disappointed with this purchase. I was never expecting much of a story line here but thought it should look quite good in high def blu-ray. Unfortunately this is by far the worst picture resolution I've ever seen in blu-ray. Th picture is very grainy and maybe the title (The Grey) is a clue/reference to actual picture quality! I couldn't believe a so called blu-ray could look this awful. I bet the Dvd format might actually look better than this terrible outing. Story is average and rather predictable. Audio is pretty good especially if you have surround sound set up and a scene at night with the men huddled around the campfire being surrounded by growling wolves which are just out of sight in the dark provides a good example of a decent surround audio. However picture quality is where this movie should've shone but fails miserably. Despite a memorable ending which is spot on, I have to say overall not good enough. Avoid and save your money.",0.0,negative,0,0,0,0,0
294,London Has Fallen,Disappointing,Disappointing when compared to Olympus Has Fallen. Good to see famous London landmarks getting the CGI but overall poor script and storyline.,1.0,neutral,1,1,1,1,0
295,Kong: Skull Island,Kong is king,"This is not a remake but a prequel , story line is good a group go to explore skull island then have to escape for reasons which I won't mention as it would spoil the film. CGI is great the acting is good and cannot see why it has had some bad reviews. As I say it's a prequel so don't expect a New York skyline the whole film is set on skull island , really good movie loved it😁",2.0,positive,0,0,0,0,0
296,Kong: Skull Island,Three Stars,Leave your brain at the door and you will enjoy the film,1.0,neutral,1,0,1,1,1
297,Olympus Has Fallen,"For an action flick, it's very entertaining!",Very well put together action scenes. A gritty movie.,1.0,neutral,0,1,0,1,0
298,John Wick Chapter 2,as expected,"No real story but great action, as expected",1.0,neutral,1,0,1,1,1
299,Infinite,Boring dull blah blah blah!,It started out with some potential an interesting main story plot but then they ran out of ideas for the second half of the movie and it became a series of cliché action shots that had no direction or purpose.What should have been a great resolution for the last part of the movie seemed like the studio had rescue the movie from the weak footage that was shot. It is clear the production team or the director lost the plot for the second half of the movie. Shame Mark Walberg was as usual charismatic and charming bit also it showed that he also had lost interest in this movie and who could blame him. Poor script does not make a great movie. I have to add that the concept for the screenplay was very good just badly executed.,0.0,negative,1,1,1,1,1
300,Honest Thief,Brilliant movie .. Just the perfect combination !,Brilliant movie .. Just the perfect combination !,2.0,positive,1,1,1,1,1
301,Blade Runner 2049,Should have left the original as a stand alone,"It isn't quite the same league as the original and Harrison Ford seems to be re-visiting his past glories like this and Indiana  Jones for no really good reason, except maybe the money?",1.0,neutral,0,1,1,0,1
302,The Hunger Games: Mockingjay Part 1,No Title On Spine,Really nice steel book goes nicely with the other two except the fact it does not have a title on the spine which is a real shame.,2.0,positive,0,0,0,0,0
303,Blade Runner 2049,Dvd,I bought  this dvd for my dad and he said it was absolutely  a load of rubbish.,0.0,negative,1,1,1,1,1
304,Escape Plan II,waste of money,They clearly did this for the money,0.0,negative,1,1,1,0,1
305,The Hunger Games (4K UHD),HUNGER FOR MORE...!,"Despite all the hype, the first BOOK is the best read for fans of ""the hunger games"".The film does not come close...""catching fire"" & ""mocking jay"" novels never reach the original's excitement.The 3 disc DVD is excellent for fans, extra's galore & a nice collectors set.",1.0,neutral,0,0,0,0,0
306,The Tomorrow War,Don’t overthink it,"If you enjoy aliens-taking-over movies with questionable plot, lots of explosions and cheesy lines then this is for you. Perfect weekend viewing!",2.0,positive,1,1,0,1,0
307,The Grey,long winded,the storyline was good but i felt the pace of this film was rather  slow. the storyline about a group of chaps stranded as their plane crashed in an area on a pack of wolves range was atmospheric and had me glued for the first part of the dvd but it slwed down in the middle . one by one they got picked off by the wolves. a bit gruesome in places.liam neeson a fine actor worth a look if your a fan. didnt like the ending though .buy it to find out.,1.0,neutral,1,1,1,1,1
308,The Tomorrow War,Better than I was expecting,"If you put aside the fact that the plot makes no sense it's a very enjoyable bit of entertainment.  You can tell it was designed for cinema release, some of the fighting scenes are fantastic (although pretty stupid.. just go with it...)",2.0,positive,0,0,0,0,0
309,Blade Runner 2049,Not a runner.,"Alas, the disc was broken and unplayable.",0.0,negative,0,1,1,1,1
310,Olympus Has Fallen,OLYMPUS HAS FALLEN,"Great film had me on the edge of my seat from start to finish, so much action and well worth the money, really you will want to watch it over and over again either on your own or with company, many thanks Amazon.",2.0,positive,1,1,1,1,1
311,The Tomorrow War,Mish mash of many films...,"Although this is a watchable film... It seems to be a predictable ""box ticker"" and has many floors... I mean like, how does the world ignore the 1 x thing that they have spend countless billions and lives on trying to fix, then, avoid the actual initial core problem? Then, how the hell does a huge war plane manage to fly from the U.S and into Russia completely undetected? Finally How did they manage to land that plane on a snow plane in the hills? All leaving the plane unscathed - seemingly, for the few short seconds that you see the aircraft that made it without any engine damage either.... The only other disappointment was the end which was just like someone butting in and saying ""The End"" - just to get the final nail in the coffin....",1.0,neutral,0,0,0,1,0
312,The Tomorrow War,Oddly enjoyable...,"...despite the execrable dialogue, cloying sentimentality, and plot that doesn't stand up to even cursory scrutiny.",1.0,neutral,1,1,1,1,1
313,Kong: Skull Island,Made for the younger viewer.  A 12 year old would give 4 or 5 stars.,The characterisations are (deliberately?) basic to fit the age 12 certificate.  Kong doesn't patronise. A reasonable romp.,1.0,neutral,0,1,0,1,1
314,xXx: Return Of Xander Cage,It's okay,"The film was entirely what I expected, entertaining, stupid and a little unbelievable. It's crap. Fun crap, but crap nonetheless.",1.0,neutral,1,0,0,1,0
315,Boss Level,Movie let down by ending,Without going into too much detail it is explained what could happen to him but after decided to do what needed to be done the movie ends with no explanation on what happens.If you hate this in a movie then as much fun as this was if this is a massive pet peeve of yours I would not bother.,0.0,negative,1,1,1,1,1
316,Infinite,Bargain bin,How has this film made bargain bin already. Good film,2.0,positive,1,0,1,1,1
317,Blade Runner 2049,A worthy successor to the original.,As a fan of the first film I was not disappointed.,2.0,positive,1,1,1,1,1
318,Skyfall,Mr Bond,"Great little pressent for my wife , my wife loves me even more now, good quality and well packaged :-)",2.0,positive,1,1,1,1,1
319,The Hunger Games (4K UHD),but brilliant for the adoring,over rated.. but brilliant for the adoring teens,1.0,neutral,0,0,0,0,0
320,Italian Job,"Never mind the doors, they should blow this bl**dy film off the planet!",Absolute dross. And it's an indictment against the classic THE ITALIAN JOB!,0.0,negative,1,1,1,1,1
321,The Tomorrow War,"So average, so paradoxical..","Yeah, it is good old grandpa paradox with lots of running away..",1.0,neutral,1,1,1,1,1
322,The Tomorrow War,Entertaining,"Really enjoyed the film. Loads of action, aliens and keeps you entertained. Glad I didn't listen to the film critics.",2.0,positive,1,1,1,1,1
323,Monsters of Man,Good story but bad acting,"I like the story plot, it goes slow but gradually you get into it, actions and graphics made it worth watching but the thing is even with very strong story and actions, thrills if the acting is not good you can not enjoy it. So better to work one acting next time",1.0,neutral,1,1,1,1,1
324,Spectre,"if you like them, you will","Another James Bond film, if you like them, you will enjoy",1.0,neutral,0,0,0,1,0
325,The Hunger Games: Mockingjay Part 1,But really this is story telling at its worst.,Having watched the Honest Trailer first I could only laugh all the way through. But really this is story telling at its worst.,0.0,negative,1,1,1,1,1
326,The Tomorrow War,not worth your time,there are not many good things to say about this movie. Yeah.. CGI is good but all the rest is execute poorly,0.0,negative,0,1,1,0,1
327,Blade Runner 2049,"It's obviously a gorgeous sequel, made with exceptional attention ...","It's obviously a gorgeous sequel, made with exceptional attention to detail and one that deserves a watch. It doesn't have the same resonance that the first one did, but in fairness I don't think that anything will.",2.0,positive,0,1,0,1,0
328,The Hunger Games (4K UHD),Great film,Great film and extras too...Can't wait till the next one.,2.0,positive,1,1,1,1,1
329,The Tomorrow War,Oh Dear,"This film shoots really high, it has a great storyline but unfortunately it feels like the films been cut in half and then shot in two sections. Its not up there with the best sci-fi films of its ilk and ultimately its a mediocre film. However I did really enjoy it, it has great effects and the acting isn't so bad. Unfortunately it appears to be the structure of the film that lets it down so badly.",1.0,neutral,1,1,1,1,1
330,Blade Runner 2049,Stick to original,Seemed a bit long winded. Prefer original,1.0,neutral,1,1,1,1,1
331,Blade Runner 2049,Doesn't feel like the same type of movie,"Doesn't feel like the same type of movie. Strange plot holes abound, but if you rent it then at least you can say you've seen it.",0.0,negative,1,0,1,0,1
332,Skyfall,Bond is back,"Thank goodness for Skyfall, after the last shambles of a film I thought that was it for the Bond series but I have just watched Skyfall and enjoyed it a lot. Bond is sure looking older but the action is good but not overdone like most movies these days and there is a story that you can follow even if the ending was a surprise. Good film.........................",2.0,positive,0,1,1,0,1
333,London Has Fallen,Predictable but nice to see London,"Good CGI on London ... predictable story line, with obvious gaps. Good action",1.0,neutral,1,1,1,1,1
334,The Tomorrow War,American pap with good aliens!,"Typical American action hype .... with 'great aliens'!Many of the 'action scenes' make this worth watching (if that's your thing) but in terms of the ""story"" it's complete drivel.Attempts at a human/emotional story are American pap ..... do they really like this sort of thing?! Then there's the stereotypical incompetent 'leader/politician' who is shown up by the good old down to earth ""heroes""; the supposed down trodden who come good by saving Earth even though in reality that means lots of other people are (needlessly?) 'sacrificed' in the process!As for the ""science"" that's thrown at you in a 'school boy' manner (literally at one point) it's laughable.Still, the aliens are 'good' in the sense that they're quite scary!!",1.0,neutral,1,1,1,1,1
335,Kong: Skull Island,Four Stars,"Unexpectedly good adventure. Shame it was rented, not via Amazon Prime, which has so little worth watching.",2.0,positive,0,1,0,0,0
336,John Wick Chapter 2,Five Stars,a vast improvement on the first. Can't wait for chapter 3,2.0,positive,1,1,1,0,1
337,Kong: Skull Island,Kong: Dull Island,"I was expecting more from this film, though I suppose I don't really know why. Kong himself barely played a part in the film, but even when he was present he didn't manage to exude any menace, or charisma in the manner that Godzilla did in his 2015 outing. I can't imagine what their upcoming clash is going to be like...Men died stupidly, the humour felt a little out of place, and I just didn't really care for the protagonists.",0.0,negative,1,1,1,1,1
338,Spectre,Good but not great,Not sure any film could better Skyfall but this one did a fair job.,1.0,neutral,1,1,1,1,1
339,The Hunger Games (4K UHD),Not as described,"Well I received the item within time however, it was not 2 discs and it was not a sealed item. It was an ex rental DVD which had obviously been used.......... Really wanted to see the film so watched it anyway and the copy was good.",1.0,neutral,0,0,0,1,0
340,RED,Not sure I'd recommend buying it though,Entertaining enough I suppose and I certainly don't feel ripped off renting it for 99p! Not sure I'd recommend buying it though.  A lot of well known stars in it most of whom give a good performance but didn't much care for the Marie-Louise Parker character even though I loved her in the West Wing - just seems to be there to Bruce Willis a love interest.,1.0,neutral,1,1,1,1,0
341,The Tracker,Rubbish,"Poor plot, wooden acting.  90 mins of my life wasted.",0.0,negative,1,1,1,1,1
342,John Wick Chapter 2,OK Sequel!,Meh! It's an OK sequel! Not as good as the 1st... When Common plays a part it usually equals a Sub Par movie but the franchise just about manages to prevent him ruining the film ;) Sorry Common it's a fact.,1.0,neutral,1,1,1,1,1
343,The Tomorrow War,"If you liked Edge of Tomorrow, watch this!","I pretty enjoyable sci-fi flick with hints of The Edge of Tomorrow (Live. Die. Repeat). At first I thought it was a long film from seeing it's runtime, but I quite enjoyed how the ending didn't feel too rushed, although it probably could have expanded it into a sequel itself!",2.0,positive,0,0,0,1,0
344,The Tomorrow War,Good start very bad middle to end,"Started off very well but went very messy.towards the end. So much so I didnt get all the way to the very end as it became generic, obvious and tedious",1.0,neutral,0,0,0,1,0
345,The Tomorrow War,The look on Chris Pratt's face said it all,"And what did the look say? It said: ""I know I'm in a film bursting with cliches and corniness, a film that has tried to tick every box in the modern moviemaker's handbook and finished with ink blots, a film that has tried to be inclusive and has ended up excluding the audience, a film that has tried to manipulate the audience's emotions every three minutes with blatant appeals to emotion and made the audience squirm with embarrassment, a film that once again regards aliens as vicious, relentless, unthinking nihilists while humans are caring, wonderful, and in spite of their weak physiognomies, stronger in every way than any apparently more advanced adversary anywhere in the cosmos (undoubtedly wrong), and - what was the question, sorry? Oh, yes, Chris Pratt's face. Well, it said, quite simply, ""I know all the above and I'm getting paid $7.5 million.""",0.0,negative,1,1,1,1,1
346,Blade Runner 2049,What can I say - really really good. Enjoyed it immensely - thought it could compare ...,What can I say - really really good.  Enjoyed it immensely - thought it couldn't compare with the original but it does.  Good watch - Enjoy.,2.0,positive,1,1,1,1,1
347,RED,Excellent film,"Excellent film, outstanding performances by entire cast",2.0,positive,1,1,1,1,1
348,The Hunger Games: Mockingjay Part 1,Meh,It's alright. Not great but not awful. A bit predictable.  I imagine teenage girls would love it.,1.0,neutral,1,1,1,1,1
349,John Wick Chapter 2,Not in the same league as John Wick Chapter 1,Wasn't as engrossing as Chapter 1.,1.0,neutral,1,0,1,1,1
350,Blade Runner 2049,Three Stars,"A reasonable film ( the original much better ) , safely delivered . Thank you .",1.0,neutral,0,0,0,0,0
351,Kong: Skull Island,Works in the U.S.!,"Works in the U.S.!  Movie wasn't as great as I thought, but the 3D was fun!",1.0,neutral,0,0,0,1,0
352,The Hunger Games (4K UHD),Great DVD,Came on time great movie and wife loves watching it,2.0,positive,1,1,1,1,1
353,Kong: Skull Island,Should be entered for worst film of year award,Worst film ever.  After persevering for 30-40 minutes I did wonder if was meant to be a comedy or not. Every cliche was included. I would say it was satire except I don't thing the director or screen writers would know what the word means,0.0,negative,1,1,1,1,1
354,Kong: Skull Island,"Ok King Kong film, 3 half star","It was Ok, a good film on it own some great scenery.the story plot was Ok, would have been better if we did see Kong fight a few more animals. So I give it a 3 and a half stars",1.0,neutral,1,1,1,1,1
355,Kong: Skull Island,Four Stars,A nice nod to the original Kong movies.,2.0,positive,1,1,1,1,1
356,Olympus Has Fallen,Marvellous film,Sat down with this film and my partner and it  had us cheering practically all the way through. Totally impossible scenario but a terrific action movie.,2.0,positive,1,1,1,1,1
357,xXx: Return Of Xander Cage,"Good value for money,movie not great.","Well it looks good sounds good but on the whole its not that good.I bought because it was £3-70p for a 4k film ,to be honest that's all its worth in my opinion although some people may like it.",1.0,neutral,1,0,1,1,1
358,Inferno,"Dan Browns 'Origin"" DVD",Well worth seeing as I had read the book.,2.0,positive,0,1,0,0,0
359,Honest Thief,Not great,Not one of Liam's greatest films. It's low budget and unfortunately his age is starting to show.,1.0,neutral,1,1,1,1,1
360,Horizon Line,Worth watching,Story is so predictable and it takes time to get into the interesting phase But still I can say it was fun to watch it. Not a outclass one but still a good choice to spend a good time.,1.0,neutral,1,1,1,0,1
361,Kong: Skull Island,The new kong,"Very disappointed,not much of a story line just some new special effects",1.0,neutral,0,1,0,0,0
362,Olympus Has Fallen,Five Stars,Good action film you can watch again and again,2.0,positive,1,1,1,1,1
363,The Hunger Games: Mockingjay Part 1,another poor one,worst one of the lot very dark print not much going. just a lot of hand wringing and talking,0.0,negative,1,0,0,1,0
364,The Hunger Games: Mockingjay Part 1,Three Stars,Nothing really new in this new episode of Hunger Games ; and there is one more to come !!!,1.0,neutral,0,0,1,0,1
365,Inferno,"An excellent, complicated, strong story with no fills",Excellent script and very good acting. Would recommend,2.0,positive,1,1,1,1,1
366,Olympus Has Fallen,Brilliant: fast paced with a lot of exciting action.,"Fast paced action film. Brilliant. I just love Gerard Butler because he's an exciting actor. The film itself is fast paced which keeps your attention from start to end. It's very fictional and hard to believe that terrorists could take over our governments (UK and USA) but I just love the action, the drama, the acting, the story line and everything. Loved it so much told my friends who are eagerly awaiting to watch both films.",2.0,positive,1,1,1,1,1
367,Inferno,View,I can hear it but can't see it. Absolutely useless,0.0,negative,1,1,1,1,1
368,xXx: Return Of Xander Cage,Not today,"Literally the most pretentious, over the top, corny and kitchy movie ever. Like ever! The stunts are laughable, eg. Motorbikes that magically grow skis in 2 secs at the touch of a button. Worst dialogue! Like after shooting someone saying ""empty"" to signify the gun is empty. Vin diesel is like someone's drunk uncle at the family barbecue who thinks he's the man, but wears flipflops in winter. They have thrown beautiful women at him regardless of his lack of charm or the fact that he wears the MOST HIDEOUS FUR COAT IN HISTORY. Clearly these women were paid well or atleast I hope so. Finally I can't believe they used Tony Ja and Donnie yen, two of the best martial artists on screen as vin diesels sidekicks. Please save yourself, not today satan not today.",0.0,negative,0,0,0,1,0
369,Kong: Skull Island,No content,Tom Hiddleston is one of the better English film Actors.  He has a stillness that's always effective. Sadly in this no one can take the film from Kong. The best I've ever seen. The script has minor content and  Jacksons performance is so ott it's laughable.,1.0,neutral,1,1,1,1,1
370,The Tomorrow War,It’s just really super entertaining,"I loved all of it. There’s lots of films out there with a similar theme ‘on paper’ but this is executed really well. Chris Pratt is great and it’s just a really entertaining film. After watching nearly every film ever made in the last year due to world craziness, it’s rare to find a film to watch that I enjoy.",2.0,positive,1,0,1,1,1
371,Blade Runner 2049,Two Stars,I paid for HD quality but it was as good as a streaming quality,0.0,negative,0,0,0,1,0
372,Blade Runner 2049,er,"A friend of mine told me this one of his favourite films. The best thing since sliced bread.After watching it, he needs to change his baker.An over long, load of pretentious drivel.I've seen better on tv. Currently watching Amazons The Expanse, and is far superior.",0.0,negative,1,0,1,1,1
373,The Hunger Games: Mockingjay Part 1,Three Stars,Not as god as the first 2 films a bit too slow moving,1.0,neutral,1,1,1,1,1
374,The Tomorrow War,Not the best Chris Pratt could do...,The creature was VEEEERY similar to a Demogorgon :/,0.0,negative,1,1,1,1,1
375,Kong: Skull Island,"The wait was worth it, it's a great movie!",I had to order this item twice due to the first being scanned incorrectly as being delivered through my letterbox! At least I did get the second one & didn't have to wait to long.,2.0,positive,0,1,0,0,0
376,Infinite,"Not a bad movie, but expected more",I would have personally liked a bit more fantasy in this story,1.0,neutral,1,1,1,1,1
377,The Tomorrow War,Good Wholesome Action Adventure,A surprisingly good wholesome action adventure film in a time where there has to be political etc... subplots. This has one or two but are sutle enough not to over shadow the overall story and adventure.With emotional content to twang a heart string and enough gore to please the pre-teens and overgrown kids we men are.Could be compared to the 1st Independance Day for an Alien Invasion film.,2.0,positive,0,0,1,0,1
378,The Tomorrow War,Only worth a view if you have nothing better to do and can lip read..,"Although I gave it 2 stars there are some good things I like about the film. The cast are excellent doing their roles with aplomb. The action scenes were first rate, although the MC was a weeny baby and nearly ended the mission in trying to save somebody who fell through an underpass ceiling.The story makes no sense there are plot holes all over the place, and the final time paradox can not work because those from the future would never have been sent. Also can we have a film where there is no circle jerk about the USA saving the world. Lets have France or Belgium or Mexico. It was supposed to be a world response which it showed in the beginning; yet ended up being the USA on its own.Along with those issues the sound is so loud you will have difficulty in following any conversation.",0.0,negative,1,1,1,1,1
379,Kong: Skull Island,Three Stars,"Just not a great film, not awful either though I guess!",1.0,neutral,0,0,0,0,0
380,Blade Runner 2049,Arrival !,"A very complex film to understand, but delivery was brilliant.",1.0,neutral,1,0,0,1,0
381,Monsters of Man,It's a 5 start for what it is!,"In my opinion it should be 4.5 star, but it is 4 star average so I gave it 5 starts! Great movie to watch once.",2.0,positive,1,0,0,0,0
382,The Hunger Games: Catching Fire (4K UHD),Three Stars,Not as good as the first but watchable,1.0,neutral,1,1,1,1,1
383,xXx: Return Of Xander Cage,Bullpoo,"Complete bull poop, pointless boring film, worst of the 3",0.0,negative,1,1,1,1,1
384,Kong: Skull Island,but if you choose to watch a Kong film you'll most likely like it.,"Exactly what you think it will be, but if you choose to watch a Kong film you'll most likely like it.",1.0,neutral,0,0,0,0,0
385,Godzilla: King Of The Monsters,Poor quality,Seem be poor quality  vid as wach twice  and screen  goes blurry in same place but not a bad movie,1.0,neutral,1,1,1,1,1
386,John Wick Chapter 2,Action all the way through,Great action movie keeps you spell bound,2.0,positive,1,1,1,1,1
387,The Grey,Just eat me now ...,"Easily one of the most depressing, useless and hopeless movies I have ever seen.  Started out great - survival movie, man v wolf - and limped towards a nonsensical, nearly mythical, denouement.  By the time you work out that the wolves are allegories, not real animals, and it is all about the hopelessness of human existence, you feel like topping yourself just so you don't have to keep watching.  Avoid.",0.0,negative,1,1,1,1,1
388,12 Strong,Five Stars,"fantastic, speedy delivery, great film no fantastic film true movie, great stuff thanmk you",2.0,positive,1,1,1,1,1
389,Blade Runner 2049,"I found it boring, the characters were uninteresting and there was a ...","If you hadn't seen the original you might have found this acceptable, as it is it was a big let down, mumbled along with no real direction or explanation.  For over half of the film I hadn't a clue what was going on !  I found it boring, the characters were uninteresting and there was a lack of action.  Wasn't a patch on the original and if you want to see a great sci fi film don't bother with this watch the original with Harrison Ford.",0.0,negative,0,0,0,1,0
390,Olympus Has Fallen,Predictable but still entertaining,"People compare this to Die Hard. For me, it's Air Force One without the plane. Same cliched characters, same nauseating American jingoistic schmaltz, same rather silly story about utterly ridiculous ransom demands being considered and even met, and a WAY HIGHER body count, it makes a good Arnie film look like a tea party. My goodness this film is violent. Bodies falling all over the place, and some rather disturbingly vicious violence in places.The CGI is pretty dodgy in places too, frankly the kind of quality that might have been acceptable 20 years ago, but not now.But the action is pretty constant, and keeps you engaged, and there's nothing like seeing baddies get what's coming. Not bad.",1.0,neutral,1,1,1,1,1
